id,gini
1001,0.41
1003,0.4517
1005,0.4608
1007,0.4365
1009,0.4134
1011,0.446
1013,0.4591
1015,0.4545
1017,0.5023
1019,0.4658
1021,0.4517
1023,0.4866
1025,0.5249
1027,0.4373
1029,0.4432
1031,0.4474
1033,0.4361
1035,0.4952
1037,0.4341
1039,0.4637
1041,0.4589
1043,0.4582
1045,0.434
1047,0.5281
1049,0.4431
1051,0.4103
1053,0.4742
1055,0.4458
1057,0.467
1059,0.4386
1061,0.448
1063,0.4876
1065,0.5082
1067,0.4402
1069,0.473
1071,0.4473
1073,0.497
1075,0.4345
1077,0.4615
1079,0.4247
1081,0.4937
1083,0.4541
1085,0.5281
1087,0.4703
1089,0.4701
1091,0.5402
1093,0.4711
1095,0.4659
1097,0.4732
1099,0.492
1101,0.4771
1103,0.4488
1105,0.4924
1107,0.4608
1109,0.4938
1111,0.4525
1113,0.4535
1115,0.423
1117,0.4253
1119,0.4762
1121,0.4514
1123,0.4444
1125,0.4666
1127,0.4635
1129,0.4169
1131,0.5321
1133,0.4564
2013,0.3858
2016,0.3911
2020,0.4156
2050,0.4427
2060,0.3476
2068,0.3756
2070,0.4345
2090,0.4013
2100,0.4171
2105,0.4472
2110,0.3738
2122,0.419
2130,0.4057
2150,0.3984
2164,0.4362
2170,0.4042
2180,0.4427
2185,0.3777
2188,0.4034
2195,0.4422
2198,0.4319
2220,0.3862
2230,0.3761
2240,0.3944
2261,0.4059
2270,0.4011
2275,0.4157
2282,0.3488
2290,0.4509
4001,0.4693
4003,0.4496
4005,0.4701
4007,0.4274
4009,0.4242
4011,0.3889
4012,0.4115
4013,0.4616
4015,0.435
4017,0.4702
4019,0.4691
4021,0.4061
4023,0.4662
4025,0.4362
4027,0.4312
5001,0.4663
5003,0.4573
5005,0.4395
5007,0.437
5009,0.4486
5011,0.4891
5013,0.4337
5015,0.4315
5017,0.5465
5019,0.4804
5021,0.4192
5023,0.4735
5025,0.4447
5027,0.4634
5029,0.4646
5031,0.4831
5033,0.4281
5035,0.4558
5037,0.4468
5039,0.4288
5041,0.527
5043,0.484
5045,0.441
5047,0.4332
5049,0.4105
5051,0.4763
5053,0.404
5055,0.4287
5057,0.4633
5059,0.4241
5061,0.4683
5063,0.4578
5065,0.4442
5067,0.4469
5069,0.4732
5071,0.4784
5073,0.4594
5075,0.4238
5077,0.4856
5079,0.5077
5081,0.4214
5083,0.4596
5085,0.3871
5087,0.4481
5089,0.4025
5091,0.4337
5093,0.4688
5095,0.4905
5097,0.4202
5099,0.4563
5101,0.4478
5103,0.4582
5105,0.4287
5107,0.5069
5109,0.4508
5111,0.4259
5113,0.4558
5115,0.4377
5117,0.4121
5119,0.481
5121,0.4552
5123,0.4704
5125,0.3818
5127,0.4451
5129,0.4383
5131,0.4991
5133,0.4064
5135,0.4103
5137,0.4937
5139,0.4719
5141,0.4571
5143,0.4924
5145,0.4667
5147,0.4767
5149,0.4342
6001,0.4692
6003,0.4036
6005,0.4568
6007,0.4713
6009,0.4354
6011,0.4335
6013,0.4618
6015,0.4621
6017,0.453
6019,0.4726
6021,0.4897
6023,0.4576
6025,0.459
6027,0.4315
6029,0.4562
6031,0.4479
6033,0.4604
6035,0.421
6037,0.4992
6039,0.4441
6041,0.5218
6043,0.4507
6045,0.4712
6047,0.4607
6049,0.4465
6051,0.3534
6053,0.4579
6055,0.4585
6057,0.4418
6059,0.4637
6061,0.4361
6063,0.466
6065,0.4437
6067,0.4518
6069,0.4085
6071,0.4383
6073,0.4654
6075,0.5156
6077,0.4476
6079,0.4551
6081,0.4829
6083,0.4851
6085,0.4627
6087,0.4686
6089,0.4464
6091,0.4618
6093,0.4535
6095,0.4194
6097,0.451
6099,0.4493
6101,0.4552
6103,0.4269
6105,0.4517
6107,0.4588
6109,0.4378
6111,0.4429
6113,0.4815
6115,0.4174
8001,0.4047
8003,0.5202
8005,0.4623
8007,0.4281
8009,0.4474
8011,0.4481
8013,0.4758
8014,0.4232
8015,0.4192
8017,0.3911
8019,0.4655
8021,0.4257
8023,0.4943
8025,0.4565
8027,0.497
8029,0.4819
8031,0.5058
8033,0.4682
8035,0.3934
8037,0.454
8039,0.4055
8041,0.4421
8043,0.4323
8045,0.4089
8047,0.4341
8049,0.4028
8051,0.4259
8053,0.4382
8055,0.497
8057,0.3955
8059,0.4305
8061,0.4562
8063,0.4219
8065,0.3798
8067,0.4241
8069,0.4497
8071,0.437
8073,0.4701
8075,0.4589
8077,0.4559
8079,0.4092
8081,0.4097
8083,0.4273
8085,0.4153
8087,0.4021
8089,0.4647
8091,0.4108
8093,0.3836
8095,0.4606
8097,0.5384
8099,0.4472
8101,0.4437
8103,0.4044
8105,0.4441
8107,0.4539
8109,0.4858
8111,0.3694
8113,0.5133
8115,0.4201
8117,0.4359
8119,0.4013
8121,0.4338
8123,0.4225
8125,0.4176
9001,0.5426
9003,0.4725
9005,0.4391
9007,0.4333
9009,0.4675
9011,0.4297
9013,0.4004
9015,0.4158
10001,0.4087
10003,0.4507
10005,0.4288
11001,0.5295
12001,0.5168
12003,0.4348
12005,0.4347
12007,0.4533
12009,0.4474
12011,0.4782
12013,0.4378
12015,0.4314
12017,0.4511
12019,0.407
12021,0.5324
12023,0.4467
12027,0.4222
12029,0.4071
12031,0.473
12033,0.4504
12035,0.4363
12037,0.4904
12039,0.4535
12041,0.4572
12043,0.4439
12045,0.4413
12047,0.4664
12049,0.4835
12051,0.4594
12053,0.4201
12055,0.4375
12057,0.4792
12059,0.4458
12061,0.5251
12063,0.4511
12065,0.448
12067,0.4979
12069,0.4326
12071,0.4727
12073,0.4939
12075,0.4556
12077,0.4579
12079,0.452
12081,0.4626
12083,0.4356
12085,0.516
12086,0.5199
12087,0.5037
12089,0.4471
12091,0.4349
12093,0.4766
12095,0.4762
12097,0.4175
12099,0.5099
12101,0.4419
12103,0.4791
12105,0.4328
12107,0.4686
12109,0.4825
12111,0.4615
12113,0.4229
12115,0.4811
12117,0.453
12119,0.4185
12121,0.448
12123,0.4075
12125,0.3982
12127,0.4592
12129,0.3965
12131,0.4796
12133,0.4363
13001,0.4479
13003,0.4834
13005,0.4405
13007,0.4761
13009,0.5123
13011,0.4094
